#####################################################################################################################
#  Sample Name                                              Reduced Name      Color     XSec (pb)    NumEntriesBefore
######################################################################################################################

RD_WmunuJets_DataAll_GoldenJSON_19p3invfb            DATA                       1               1            1
RD_mu_WJets_madgraph_CMSSW532                        W+Jets                     2           36257     76102995
#RD_mu_W1Jets_CMSSW532                                W+Jets                     2            6400     23141598
#RD_mu_W2Jets_CMSSW532                                W+Jets                     2            2086     34044921
#RD_mu_W3Jets_CMSSW532                                W+Jets                     2             618     15539503
#RD_mu_W4Jets_CMSSW532                                W+Jets                     2             255     13382803
#RD_mu_WpJPt100_CMSSW532                              W+Jets                     2          289.2      8955318
RD_mu_WW_CMSSW532                                    WW                         7          54.838     10000431
RD_mu_WZ_CMSSW532                                    WZ                         7         32.3161     10000283
RD_mu_ZpJ_CMSSW532                                   Z+Jets                     5            3503     30459503
RD_mu_ZZ_CMSSW532                                    ZZ                         7           8.05       9799908
RD_mu_STopS_Tbar_CMSSW532                            STop                       8             25        139974
RD_mu_STopS_T_CMSSW532                               STop                       8             4.5       259961
RD_mu_STopT_Tbar_CMSSW532                            STop                       8            32.3      1935072
RD_mu_STopT_T_CMSSW532                               STop                       8            59.5      3758227
RD_mu_STopTW_Tbar_CMSSW532                           STop                       8            11.2       493460
RD_mu_STopTW_T_CMSSW532                              STop                       8            11.2       497658
RD_mu_TTbar_CMSSW532                                 tt_bar                     8         225.197      6923750
RD_mu_HWWMH800_CMSSW532_private                      ggH                        4          0.1095       198750
RD_mu_VBFHWWMH800_CMSSW532_private                   qqH                        1         0.04365       192735
